CUSTOMER_ID,NAME,BILL_TO_COUNTRY,SHIP_TO_NAME,SHIP_TO_ADDR_1,SHIP_TO_ADDR_2,SHIP_TO_CITY,SHIP_TO_STATE
BER04,BERLIN PACKAGING,USA,ACME DISTRIBUTIONS,18101 E COLFAX,NULL,AURORA ,CO
BER04,BERLIN PACKAGING,USA,ADSIL INC,RAJ  DHAWAN,1901 MASON AVENUE,DAYTONA BEACH,FL
BER04,BERLIN PACKAGING,USA,ARC INDUSTRIES EAST,12809 MISSION PARKWAY,909 TAYLOR STATION ROAD,COLUMBUS,OH
BER04,BERLIN PACKAGING,USA,BAYER HEALTHCARE,PO# 40547,NULL,SHAWNEE ,KS
BER04,BERLIN PACKAGING,USA,BUCKEYE INT'L,KURT SCHWARZ,2700 WAGNER PLACE,MARYLAND HTS.,MO
BER04,BERLIN PACKAGING,USA,C R C    INDUSTRIES,NORM FRIEDMAN,885 LOUIS DRIVE,WARMINSTER,PA
BER04,BERLIN PACKAGING,USA,CARTER WALLACE,RECEIVING,HALF ACRE ROAD,CRANBURY,CT
BER04,BERLIN PACKAGING,USA,CHEMRITE,ATTN: JOHN JONES,19725 WEST EDGEWOOD DR.,LANNON,WI
BER04,BERLIN PACKAGING,USA,CONTINENTAL  PACKAGING SOLUTIONS,ANDY GILBERT,1202 CLIPPERWAY,WOODBURY,MN
BER04,BERLIN PACKAGING,USA,CONTINENTAL GLASS AND PLASTIC,ATTN: ANDY GILBERT,18 OCEAN AVENUE,NEWBURYPORT,MA
BER04,BERLIN PACKAGING,USA,CONTINENTAL GLASS AND PLASTIC,MR  JOHN JONES,18 OCEAN AVE,NEWBURYPORT,MA
BER04,BERLIN PACKAGING,USA,CONTINENTAL PACKAGING SOLUTION,DEBORAH RYHAL,1202 CLIPPER WAY,WOODBURY,MN
BER04,BERLIN PACKAGING,USA,CONTINENTAL PACKAGING SOLUTIONS,JOHN  JONES,230 WEST MONROE STREET,CHICAGO,IL
BER04,BERLIN PACKAGING,USA,CONTINENTAL PKG  SOLUTIONS,RECEIVING WAREHOUSE,1202  CLIPPER  WAY,WOODBURY,MN
BER04,BERLIN PACKAGING,USA,CONTINENTAL PKG SOLUTIONS,RECEIVING,3029 N 114TH STREET,MILWAUKEE,WI
BER04,BERLIN PACKAGING,USA,CROWN PACKAGING,RECEIVING,8407 HANLEY IND COURT,ST LOUIS,MO
BER04,BERLIN PACKAGING,USA,D& S WAREHOUSE,RECEIVING,3029 N 114TH STREET,MILWAUKEE,WI
BER04,BERLIN PACKAGING,USA,DAUBERT INDUSTRIES,KRISTA MCMILLON,7030 WEST 66TH PLACE,BEDFORD PARK,IL
BER04,BERLIN PACKAGING,USA,DIAGRAPH MARKING & STENCILING,C/O PLATTE CHEMICAL,5307 MEADOWLAND,MARION,IL
BER04,BERLIN PACKAGING,USA,DOW AGROSCIENCE,,9330 ZIONSVILLE ROAD,INDIANAPOLIS,ON
BER04,BERLIN PACKAGING,USA,DOW AGROSCIENCES,2100 COMMONWEALTH AVE,917 PLATTE ROAD,GREENVILLE,MS
BER04,BERLIN PACKAGING,USA,DURACLEAN,,2151 WAUKEGAN ROAD,DEERFIELD,IL
BER04,BERLIN PACKAGING,USA,EMCO CHEMICAL,RECEIVING,NULL,NORTH CHICAGO,IL
BER04,BERLIN PACKAGING,USA,FUEL FRESH,RECEIVING,10834 AMBASSADOR DR,ST LOUIS,MO
BER04,BERLIN PACKAGING,USA,GENERAL FINISHES,RECEIVING,17100 W VICTOR RD,NEW BERLIN,WI
BER04,BERLIN PACKAGING,USA,HERCULES HOBBIES,,7116 W GREENFIELD AVE,WEST ALLIS,WI
BER04,BERLIN PACKAGING,USA,IDEAL INSTRUMENTS,RECEIVING,9355  W BYRON,SCHILLER PARK,IL
BER04,BERLIN PACKAGING,USA,K&W PRODUCTS,C/O FMI,239 WEST GRIMES LANE,BLOOMINGTON,MN
BER04,BERLIN PACKAGING,USA,LANG DENTAL,C/O POGUE PRODUCTS,175 MESSENGER DRIVE,WHEELING,IL
BER04,BERLIN PACKAGING,USA,LBI INC,MIKE BENSON,200 CASCADE DRIVE / BLDG D,ALLENTOWN,PA
BER04,BERLIN PACKAGING,USA,LIGHTHOUSE FOR THE BLIND,COLUMBUS WAREHOUSE,8822 ST CHARLES ROCK RD,ST LOUIS,MO
BER04,BERLIN PACKAGING,USA,MICROCLEAN,,2050 SOUTH 10TH ST,SAN JOSE,CA
BER04,BERLIN PACKAGING,USA,NATIONAL PACKAGING (CGP),,6606 TUSSING ROAD,COLUMBUS,OH
BER04,BERLIN PACKAGING,USA,NORTHWEST BIODIESEL,,1201 SOUTH 6TH STR.,ST. JOSEPH,MO
BER04,BERLIN PACKAGING,USA,SANFORD-SHELBYVILLE OPERATIONS,YUEH WANG,1 PENCIL STREET-RECEIVING DOCK,SHELBYVILLE,IN
BER04,BERLIN PACKAGING,USA,SUNBURST COMPANIES,1100 CITRUS STREET,690 INDUSTRIAL CIRCLE SOUTH,SHAKOPEE,MN
BER04,BERLIN PACKAGING,USA,VALAENT BIOSCIENCES,C\O HELENA CHEMICAL,6131 RFD OAKWOOD RD,LONG GROVE,IL
BLO01,BLOW MOLDED PRODUCTS INC,USA,AMA PLASTICS,C/O NICKEY WAREHOUSE,NULL,RIVERSIDE,CA
CON06,CONSOLIDATED CONTAINER COMPANY,NULL,AMBRANDS,C/O NICKI WHSE,HWY 49 BYPASS,WEST HELENA,AR
CON06,CONSOLIDATED CONTAINER COMPANY,NULL,AMERICAN CYANAMID,JOHN TUNITAS,3691 TULANE ROAD,MEMPHIS,TN
